,_id,Legal_Name,Cont_status,Hire_Date,Country,Location,Division,Company,Business_Title,Curr_Level,Annual_Sal,Currency,FTE,Cluster,Concate,min,mid,max,Variation,Var_Percent,Catch_up
14,EID-1076,Sayid Alhausa,Regular,05/08/2021,Germany,Berlin,Logistics,Adams GmbH,Senior Operations Analyst,L5,81200,EUR,1.0,Quality-Assurance,BerlinQuality-AssuranceL5,124200,142900,161500,-43000,-0.53,43000
15,EID-1081,Ilori Adekoya,Regular,05/07/2021,Austria,Vienna,Logistics,Adams GmbH,Senior business partner,L4,68400,EUR,1.0,Transportation,ViennaTransportationL4,89900,103400,116900,-21500,-0.314,21500
16,EID-1082,Alimi Raji,Regular,05/08/2021,Germany,Berlin,Logistics,Adams GmbH,Senior Operations Analyst,L5,78900,EUR,1.0,Warehousing,BerlinWarehousingL5,116500,134000,151400,-37600,-0.477,37600
17,EID-1084,Mary Slessor,Regular,05/06/2020,Spain,Barcelona,Logistics,Adams Coy,Operations Assistance,L1,35400,EUR,1.0,Logistic-Operations,BarcelonaLogistic-OperationsL1,39100,44900,50800,-3700,-0.105,3700
18,EID-1106,Saka Naheem,Regular,9/4/2022,Austria,Vienna,Logistics,Adams GmbH,Director of Data Analsyt Team,L7,142000,EUR,1.0,Data-Analysis,ViennaData-AnalysisL7,173000,199000,225000,-31000,-0.218,31000
19,EID-1114,Laura Ray,Regular,03/06/2015,Germany,Berlin,Logistics,Adams GmbH,People Business Partner,L3,67500,EUR,1.0,People-Business-Partner,BerlinPeople-Business-PartnerL3,73000,84000,95000,-5500,-0.081,5500
20,EID-1119,Justina Wood,Regular,05/10/2020,Spain,Barcelona,Logistics,Adams Coy,Operations Assistance,L3,64500,EUR,1.0,Quality-Assurance,BarcelonaQuality-AssuranceL3,74300,85500,96600,-9800,-0.152,9800
21,EID-1123,Arafat Ramon,Regular,12/4/2018,Austria,Vienna,Logistics,Adams GmbH,Junior business partner,L2,54000,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL2,58400,67100,75900,-4400,-0.081,4400
22,EID-1124,Waheed Alanu,Regular,05/07/2021,Austria,Vienna,Logistics,Adams GmbH,Senior Operations Analyst,L4,57400,EUR,1.0,Warehousing,ViennaWarehousingL4,82600,94900,107300,-25200,-0.439,25200
23,EID-1125,Quadri Salau,Regular,9/7/2022,Austria,Vienna,Logistics,Adams GmbH,Data Analsyt,L6,110000,EUR,1.0,Data-Analysis,ViennaData-AnalysisL6,140300,161400,182400,-30300,-0.275,30300
24,EID-1129,Maria Geyer,Fixed,05/12/2020,Spain,Barcelona,Logistics,Adams Coy,Head of Operations,L7,142300,EUR,1.0,Procurement,BarcelonaProcurementL7,187600,215700,243900,-45300,-0.318,45300
25,EID-1133,Mallam Fajir,Regular,11/6/2019,Germany,Berlin,Logistics,Adams GmbH,Senior business partner,L5,97600,EUR,1.0,People-Business-Partner,BerlinPeople-Business-PartnerL5,122100,140500,158800,-24500,-0.251,24500
26,EID-1135,Alan Ramon,Regular,03/06/2015,Germany,Hamburg,Logistics,Adams GmbH,People Business Partner,L3,67500,EUR,1.0,People-Business-Partner,HamburgPeople-Business-PartnerL3,72100,82900,93700,-4600,-0.068,4600
27,EID-1140,Hura Asanke,Regular,01/02/2016,Spain,Barcelona,Logistics,Adams Coy,Operations Assistance,L3,64500,EUR,1.0,Transportation,BarcelonaTransportationL3,73700,84700,95800,-9200,-0.143,9200
28,EID-1143,Malik Lan,Regular,01/05/2016,Austria,Vienna,Logistics,Adams GmbH,AFC Associate,L3,64500,EUR,1.0,Warehousing,ViennaWarehousingL3,70400,80900,91500,-5900,-0.091,5900
29,EID-1144,Kasheem Sarafat,Regular,01/06/2016,Germany,Berlin,Logistics,Adams GmbH,Senior business partner,L5,87600,EUR,1.0,People-Business-Partner,BerlinPeople-Business-PartnerL5,122100,140500,158800,-34500,-0.394,34500
30,EID-1145,Uju Ashir,Regular,01/07/2016,Austria,Vienna,Logistics,Adams GmbH,Senior Operations Analyst,L4,81000,EUR,1.0,Procurement,ViennaProcurementL4,84200,96900,109500,-3200,-0.04,3200
31,EID-1146,Sadia Fashit,Regular,01/08/2016,Austria,Vienna,Logistics,Adams GmbH,Data Analsyt,L6,100000,EUR,1.0,Data-Analysis,ViennaData-AnalysisL6,140300,161400,182400,-40300,-0.403,40300
32,EID-1150,Malam Gashir,Fixed,05/12/2020,Spain,Barcelona,Logistics,Adams Coy,Head of Operations,L7,142300,EUR,1.0,Quality-Assurance,BarcelonaQuality-AssuranceL7,189000,217400,245700,-46700,-0.328,46700
33,EID-1153,Sarah Queen,Fixed,03/07/2017,Germany,Hamburg,Logistics,Adams GmbH,AFC Associate,L3,64500,EUR,1.0,Transportation,HamburgTransportationL3,65400,75200,85000,-900,-0.014,900
34,EID-1154,John Saz,Regular,11/6/2019,Austria,Vienna,Logistics,Adams GmbH,Accounting Specialist,L2,49800,EUR,1.0,Procurement,ViennaProcurementL2,56900,65400,74000,-7100,-0.143,7100
35,EID-1156,David Southgate,Regular,11/11/2016,Spain,Barcelona,Logistics,Adams Coy,Operations Manager,L4,86500,EUR,1.0,Logistic-Operations,BarcelonaLogistic-OperationsL4,88800,102100,115400,-2300,-0.027,2300
36,EID-1160,Saheed Khan,Regular,1/2/2018,Austria,Vienna,Logistics,Adams GmbH,Senior business partner,L4,77600,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL4,85700,98600,111500,-8100,-0.104,8100
37,EID-1399,Daniel Carroll,Regular,2020-04-23,Germany,Berlin,People,Adams GmbH,Accounting Specialist,L1,47900,EUR,1.0,Payroll-Patner,BerlinPayroll-PatnerL1,37100,42700,48200,10800,0.225,0
38,EID-1165,Maria Darbo,Fixed,9/4/2017,Austria,Vienna,Logistics,Adams GmbH,Senior business partner,L4,77600,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL4,85700,98600,111500,-8100,-0.104,8100
39,EID-1166,Maheem Dark,Fixed,9/5/2017,Spain,Barcelona,Logistics,Adams Coy,Operations Specialist,L3,54800,EUR,1.0,Quality-Assurance,BarcelonaQuality-AssuranceL3,74300,85500,96600,-19500,-0.356,19500
40,EID-1170,Muraina Alahusa,Regular,9/9/2017,Austria,Vienna,Logistics,Adams GmbH,Senior business partner,L4,83200,EUR,1.0,Transportation,ViennaTransportationL4,89900,103400,116900,-6700,-0.081,6700
41,EID-1171,Dada Raimi,Fixed,9/5/2017,Spain,Barcelona,Logistics,Adams Coy,Operations Specialist,L3,54800,EUR,1.0,Warehousing,BarcelonaWarehousingL3,71100,81700,92400,-16300,-0.297,16300
42,EID-1410,Sean Griffin,Fixed,2015-02-04,Poland,Warsaw,People,Adams GmbH,Operations Assistance,L1,49100,EUR,1.0,Operation-Management,WarsawOperation-ManagementL1,39200,45100,51000,9900,0.202,0
43,EID-1175,Zulu Gambari,Regular,9/9/2017,Austria,Vienna,Logistics,Adams GmbH,Senior business partner,L4,83200,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL4,85700,98600,111500,-2500,-0.03,2500
44,EID-1177,Halima Magaji,Regular,9/9/2017,Austria,Vienna,Logistics,Adams GmbH,Senior business partner,L4,83200,EUR,1.0,People-Business-Partner,ViennaPeople-Business-PartnerL4,85700,98600,111500,-2500,-0.03,2500
45,EID-1178,Zhin Saw,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams GmbH,Supply Chain Analyst,L3,63400,EUR,1.0,Packaging,WarsawPackagingL3,73700,84800,95800,-10300,-0.162,10300
46,EID-1179,Sdik Gate,Regular,11/6/2019,Poland,Warsaw,Logistics,Adams GmbH,Logistic Manager,L4,74500,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL4,82000,94300,106600,-7500,-0.101,7500
47,EID-1180,Wuraola John,Regular,03/05/2015,Poland,Warsaw,Logistics,Adams Coy,Supply Chain Operations Lead,L6,110000,EUR,1.0,Transportation,WarsawTransportationL6,149300,171600,194000,-39300,-0.357,39300
48,EID-1181,Habeeb Bala,Regular,03/06/2015,Poland,Warsaw,Logistics,Adams GmbH,Warehouse Coordinator Lead,L4,75300,EUR,1.0,Warehousing,WarsawWarehousingL4,82100,94400,106700,-6800,-0.09,6800
49,EID-1182,Sarafat Malik,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams Coy,Senior Team Lead Logistics,L5,84350,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL5,125500,144300,163100,-41150,-0.488,41150
50,EID-1183,Dauda Sanni,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams GmbH,Logistics Data Analyst,L3,61200,EUR,1.0,Data-Analysis,WarsawData-AnalysisL3,69100,79500,89900,-7900,-0.129,7900
51,EID-1184,Dude Sahin,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams GmbH,Senior business partner,L4,76400,EUR,1.0,People-Business-Partner,WarsawPeople-Business-PartnerL4,85200,98000,110700,-8800,-0.115,8800
52,EID-1185,Gary SouthGate,Regular,11/11/2018,Poland,Warsaw,Logistics,Adams Coy,Operations Specialist,L3,59000,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL3,74700,85900,97100,-15700,-0.266,15700
53,EID-1186,Salman Ray,Regular,03/03/2017,Poland,Warsaw,Logistics,Adams GmbH,Senior Logistic Partner,L4,75000,EUR,1.0,Transportation,WarsawTransportationL4,86900,99900,112900,-11900,-0.159,11900
54,EID-1187,Raheem Dauda,Regular,12/4/2018,Poland,Warsaw,Logistics,Adams Coy,Senior Logistic Analyst,L5,86400,EUR,1.0,Warehousing,WarsawWarehousingL5,125900,144700,163600,-39500,-0.457,39500
55,EID-1188,Funmi Iyanda,Regular,05/07/2021,Poland,Warsaw,Logistics,Adams GmbH,Head of Logistic Operation,L7,125400,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL7,185000,212700,240500,-59600,-0.475,59600
56,EID-1189,Hamin Holloway,Regular,9/7/2022,Poland,Warsaw,Logistics,Adams GmbH,Senior Supply Chain Analyst,L4,77500,EUR,1.0,Procurement,WarsawProcurementL4,82000,94300,106600,-4500,-0.058,4500
57,EID-1190,Sulaiman Amir,Regular,08/04/2020,Poland,Warsaw,Logistics,Adams Coy,Junior Operations Manager,L2,52300,EUR,1.0,Packaging,WarsawPackagingL2,55500,63800,72100,-3200,-0.061,3200
58,EID-1191,Haliu Musa,Regular,05/08/2021,Poland,Warsaw,Logistics,Adams GmbH,Senior Operations Analyst,L4,74500,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL4,82000,94300,106600,-7500,-0.101,7500
59,EID-1192,Hammed Dauda,Regular,01/01/2021,Poland,Warsaw,Logistics,Adams Coy,Lead Warehouse Manager,L5,84540,EUR,1.0,Transportation,WarsawTransportationL5,117000,134600,152100,-32460,-0.384,32460
60,EID-1193,Jude Tayjid,Regular,05/12/2020,Poland,Warsaw,Logistics,Adams GmbH,Logistic Partner,L3,51200,EUR,1.0,Warehousing,WarsawWarehousingL3,74200,85300,96400,-23000,-0.449,23000
61,EID-1194,Kay Baba,Regular,11/8/2018,Poland,Warsaw,Logistics,Adams GmbH,Logistic Partner,L4,77500,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL4,85200,97900,110700,-7700,-0.099,7700
62,EID-1195,Laila John,Regular,11/11/2018,Poland,Warsaw,Logistics,Adams GmbH,Logistic Partner,L3,60000,EUR,1.0,Procurement,WarsawProcurementL3,67500,77700,87800,-7500,-0.125,7500
63,EID-1196,Halima Alausa,Regular,03/03/2017,Poland,Warsaw,Logistics,Adams GmbH,Logistic Partner,L4,77500,EUR,1.0,Packaging,WarsawPackagingL4,89900,103400,116900,-12400,-0.16,12400
64,EID-1197,Chindima Uche,Regular,12/4/2018,Poland,Warsaw,Logistics,Adams GmbH,Supply Chain Analyst,L3,63400,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL3,74700,85900,97100,-11300,-0.178,11300
65,EID-1198,Saka Bashir,Regular,05/07/2021,Poland,Warsaw,Logistics,Adams GmbH,Logistic Manager,L4,74500,EUR,1.0,Transportation,WarsawTransportationL4,86900,99900,112900,-12400,-0.166,12400
66,EID-1199,Aliu Badmus,Regular,9/7/2022,Poland,Warsaw,Logistics,Adams Coy,Supply Chain Operations Lead,L5,90000,EUR,1.0,Warehousing,WarsawWarehousingL5,125900,144700,163600,-35900,-0.399,35900
67,EID-1200,Saliu Ray,Regular,08/04/2020,Poland,Warsaw,Logistics,Adams GmbH,Warehouse Coordinator Lead,L4,75300,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL4,85200,97900,110700,-9900,-0.131,9900
68,EID-1201,Uju Ibraheem,Regular,05/08/2021,Poland,Warsaw,Logistics,Adams Coy,Senior Team Lead Logistics,L5,83400,EUR,1.0,Procurement,WarsawProcurementL5,129700,149100,168600,-46300,-0.555,46300
69,EID-1202,Alimah Hammed,Regular,01/01/2021,Poland,Warsaw,Logistics,Adams GmbH,Logistics Data Analyst,L3,61200,EUR,1.0,Data-Analysis,WarsawData-AnalysisL3,69100,79500,89900,-7900,-0.129,7900
70,EID-1203,Gary Woodgate,Regular,05/12/2020,Poland,Warsaw,Logistics,Adams GmbH,Senior business partner,L4,76400,EUR,1.0,People-Business-Partner,WarsawPeople-Business-PartnerL4,85200,98000,110700,-8800,-0.115,8800
71,EID-1204,Kazeem Alahusa,Regular,11/8/2018,Poland,Warsaw,Logistics,Adams Coy,Operations Specialist,L3,59000,EUR,1.0,Transportation,WarsawTransportationL3,69200,79500,89900,-10200,-0.173,10200
72,EID-1205,Salako Ibraheem,Regular,11/7/2018,Poland,Warsaw,Logistics,Adams GmbH,Senior Logistic Partner,L4,75000,EUR,1.0,Warehousing,WarsawWarehousingL4,82100,94400,106700,-7100,-0.095,7100
73,EID-1206,Zhin Saheed,Regular,03/07/2017,Poland,Warsaw,Logistics,Adams Coy,Senior Logistic Analyst,L5,86400,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL5,125500,144300,163100,-39100,-0.453,39100
74,EID-1207,Salamat Musa,Regular,11/6/2019,Poland,Warsaw,Logistics,Adams GmbH,Logistic Operation Specialist,L2,49800,EUR,1.0,Procurement,WarsawProcurementL2,55500,63800,72100,-5700,-0.114,5700
75,EID-1208,Wuraola Selim,Regular,03/05/2015,Poland,Warsaw,Logistics,Adams GmbH,Senior Supply Chain Analyst,L4,77500,EUR,1.0,Packaging,WarsawPackagingL4,89900,103400,116900,-12400,-0.16,12400
76,EID-1209,Saliu Freimann,Regular,03/06/2015,Poland,Warsaw,Logistics,Adams Coy,Junior Operations Manager,L2,52300,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL2,59800,68700,77700,-7500,-0.143,7500
77,EID-1210,Junaid Sullaiman,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams GmbH,Senior Operations Analyst,L4,74500,EUR,1.0,Transportation,WarsawTransportationL4,86900,99900,112900,-12400,-0.166,12400
78,EID-1211,Kazeem Lulu,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams Coy,Lead Warehouse Manager,L5,83000,EUR,1.0,Warehousing,WarsawWarehousingL5,125900,144700,163600,-42900,-0.517,42900
79,EID-1212,Zulu Musa,Regular,11/6/2019,Poland,Warsaw,Logistics,Adams GmbH,Logistic Partner,L3,48700,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL3,66900,77000,87000,-18200,-0.374,18200
80,EID-1213,Kamar Sulaiman,Regular,03/05/2015,Poland,Warsaw,Logistics,Adams GmbH,Senior Logistic Partner,L4,77500,EUR,1.0,Procurement,WarsawProcurementL4,82000,94300,106600,-4500,-0.058,4500
81,EID-1214,Kunle Afod,Regular,03/06/2015,Poland,Warsaw,Logistics,Adams GmbH,Logistic Partner,L3,60000,EUR,1.0,Packaging,WarsawPackagingL3,73700,84800,95800,-13700,-0.228,13700
82,EID-1215,Kazeem Amir,Regular,10/11/2022,Poland,Warsaw,Logistics,Adams GmbH,Senior Logistic Partner,L4,77500,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL4,82000,94300,106600,-4500,-0.058,4500
83,EID-1219,Salim Holland,Regular,11/4/2019,Poland,Warsaw,Logistics,Adams GmbH,Marketing Operations Assistance,L1,40000,EUR,1.0,Transportation,WarsawTransportationL1,39900,45900,51900,100,0.002,0
84,EID-1221,Saddam Holland,Regular,01/05/2018,Germany,Berlin,Logistics,Adams GmbH,Senior People Buniness Partner,L6,100000,EUR,1.0,People-Business-Partner,BerlinPeople-Business-PartnerL6,161000,185200,209300,-61000,-0.61,61000
85,EID-1222,Imran Hammid,Regular,11/4/2020,Austria,Vienna,Logistics,Adams Coy,Junior Business Partner,L1,42000,EUR,1.0,Logistic-Operations,ViennaLogistic-OperationsL1,37000,42500,48000,5000,0.119,0
86,EID-1251,Saka Aliu,Regular,05/12/2014,Austria,Vienna,Logistics,Adams GmbH,SEO Specialist,L3,65000,EUR,1.0,Procurement,ViennaProcurementL3,69600,80100,90500,-4600,-0.071,4600
87,EID-1253,Sullivan May,Regular,05/14/2014,Austria,Vienna,Logistics,Adams GmbH,Maketing Analytics Lead,L4,78500,EUR,1.0,Data-Analysis,ViennaData-AnalysisL4,82400,94700,107100,-3900,-0.05,3900
88,EID-1256,Sabrin Geyer,Regular,05/17/2014,Germany,Hamburg,Logistics,Adams GmbH,Manager Marketing,L4,75000,EUR,1.0,Quality-Assurance,HamburgQuality-AssuranceL4,86100,99000,111900,-11100,-0.148,11100
89,EID-1257,Dauda Aliu,Regular,05/18/2014,Austria,Vienna,Logistics,Adams GmbH,Manager Marketing Senior,L4,77600,EUR,1.0,Transportation,ViennaTransportationL4,89900,103400,116900,-12300,-0.159,12300
90,EID-1259,Mariam Darbo,Fixed,05/20/2014,Austria,Vienna,Logistics,Adams GmbH,Marketing Manager,L4,77600,EUR,1.0,Warehousing,ViennaWarehousingL4,82600,94900,107300,-5000,-0.064,5000
91,EID-1268,Linda Woodward,Fixed,2001-11-23,Poland,Warsaw,Logistics,Adams GmbH,Chief Financial Officer,L7,124200,EUR,1.0,Logistic-Operations,WarsawLogistic-OperationsL7,185000,212700,240500,-60800,-0.49,60800
92,EID-1269,Nicole Delgado,Regular,2002-09-24,Austria,Vienna,Logistics,Adams GmbH,Customer Service Manager,L6,122800,EUR,1.0,Procurement,ViennaProcurementL6,164300,188900,213500,-41500,-0.338,41500
93,EID-1271,Stacey Mccarty,Regular,2014-11-06,Germany,Hamburg,Logistics,Adams GmbH,Accounting Specialist,L1,31200,EUR,1.0,Packaging,HamburgPackagingL1,37900,43500,49200,-6700,-0.215,6700
94,EID-1274,Deborah Wright,Fixed,2011-12-25,Germany,Hamburg,Logistics,Adams GmbH,Senior Business Operations Expert,L5,72700,EUR,1.0,Quality-Assurance,HamburgQuality-AssuranceL5,115500,132800,150100,-42800,-0.589,42800
95,EID-1286,Marie Young,Regular,2015-12-17,Austria,Vienna,Logistics,Adams GmbH,Marketing Officer,L1,36200,EUR,1.0,Transportation,ViennaTransportationL1,38500,44300,50100,-2300,-0.064,2300
96,EID-1304,Jose Boyle,Fixed,2017-12-10,Spain,Barcelona,Logistics,Adams Coy,Director of Marketing,L6,109000,EUR,1.0,Warehousing,BarcelonaWarehousingL6,162100,186400,210700,-53100,-0.487,53100
97,EID-1306,Taylor Cohen,Regular,2016-12-30,Germany,Berlin,Logistics,Adams GmbH,Marketing Officer Specialist,L2,54900,EUR,1.0,Logistic-Operations,BerlinLogistic-OperationsL2,58400,67100,75900,-3500,-0.064,3500
98,EID-1318,Melanie Lindsey,Fixed,2006-04-26,Spain,Barcelona,Logistics,Adams Coy,Senior Logistics Manager,L5,75500,EUR,1.0,Procurement,BarcelonaProcurementL5,124100,142700,161300,-48600,-0.644,48600
99,EID-1329,Robert Gray,Fixed,2011-03-25,Poland,Warsaw,Logistics,Adams GmbH,Executive Office Specialist,L2,44700,EUR,1.0,Packaging,WarsawPackagingL2,55500,63800,72100,-10800,-0.242,10800
100,EID-1330,Taylor Smith,Regular,2018-03-27,Poland,Warsaw,Logistics,Adams GmbH,Operating Officer Assistance,L1,30400,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL1,42700,49100,55500,-12300,-0.405,12300
101,EID-1346,Molly Mccoy,Regular,2021-07-19,Austria,Vienna,Logistics,Adams GmbH,Marketing Officer Specialist,L2,51500,EUR,1.0,Transportation,ViennaTransportationL2,52500,60400,68200,-1000,-0.019,1000
102,EID-1351,Sean Bailey,Regular,2004-05-02,Germany,Berlin,Logistics,Adams GmbH,Operation Officer,L2,55600,EUR,1.0,Warehousing,BerlinWarehousingL2,56800,65300,73800,-1200,-0.022,1200
103,EID-1355,Dana Williams DVM,Regular,2010-09-01,Spain,Barcelona,Logistics,Adams Coy,Director of Operations,L7,116200,EUR,1.0,Logistic-Operations,BarcelonaLogistic-OperationsL7,170000,195500,221000,-53800,-0.463,53800
104,EID-1362,Jean Nichols,Fixed,2017-12-29,Poland,Warsaw,Logistics,Adams GmbH,Senior Technical Lead,L3,50500,EUR,1.0,Procurement,WarsawProcurementL3,67500,77700,87800,-17000,-0.337,17000
105,EID-1364,Kara Wilson,Fixed,2005-04-16,Austria,Vienna,Logistics,Adams GmbH,Junior Operations Specialist,L2,52500,EUR,1.0,Packaging,ViennaPackagingL2,55100,63300,71600,-2600,-0.05,2600
106,EID-1369,John Cobb,Regular,2006-10-16,Spain,Barcelona,Logistics,Adams Coy,Production Manager,L6,94000,EUR,1.0,Quality-Assurance,BarcelonaQuality-AssuranceL6,156400,179900,203400,-62400,-0.664,62400
107,EID-1370,Karen Smith,Fixed,2012-06-13,Poland,Warsaw,Logistics,Adams GmbH,Head  of IT,L7,112600,EUR,1.0,Transportation,WarsawTransportationL7,197500,227200,256800,-84900,-0.754,84900
108,EID-1379,Gloria Freeman,Regular,2013-11-08,Germany,Hamburg,Logistics,Adams GmbH,Executive Office Specialist,L2,55500,EUR,1.0,Warehousing,HamburgWarehousingL2,50500,58000,65600,5000,0.09,0
109,EID-1384,Jennifer Evans,Fixed,2001-04-20,Spain,Barcelona,Logistics,Adams Coy,Marketing Officer Specialist,L1,44700,EUR,1.0,Logistic-Operations,BarcelonaLogistic-OperationsL1,39100,44900,50800,5600,0.125,0
110,EID-1385,Ariel Graham,Fixed,2000-05-18,Austria,Vienna,Logistics,Adams GmbH,Technical Expert,L3,64200,EUR,1.0,Procurement,ViennaProcurementL3,69600,80100,90500,-5400,-0.084,5400
111,EID-1398,Marissa Sims,Regular,2019-12-13,Spain,Barcelona,Logistics,Adams Coy,IT Support Manager,L4,74200,EUR,1.0,Packaging,BarcelonaPackagingL4,81500,93700,105900,-7300,-0.098,7300
112,EID-1400,Theresa Lester,Fixed,2020-05-24,Poland,Warsaw,Logistics,Adams GmbH,Director of Operations,L6,135500,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL6,156300,179700,203200,-20800,-0.154,20800
113,EID-1401,Randall Gomez,Regular,2004-01-27,Austria,Vienna,Logistics,Adams GmbH,Accounting Manager,L2,44900,EUR,1.0,Transportation,ViennaTransportationL2,52500,60400,68200,-7600,-0.169,7600
114,EID-1409,Alicia Robinson,Fixed,2016-02-24,Germany,Berlin,Logistics,Adams GmbH,Manager of Marketing,L6,122600,EUR,1.0,Warehousing,BerlinWarehousingL6,155600,179000,202300,-33000,-0.269,33000
115,EID-1411,Bobby Edwards,Regular,2006-07-22,Spain,Barcelona,Logistics,Adams Coy,Senior Production Manager,L5,89700,EUR,1.0,Logistic-Operations,BarcelonaLogistic-OperationsL5,121800,140100,158400,-32100,-0.358,32100
116,EID-1412,Megan Townsend,Fixed,2021-03-05,Poland,Warsaw,Logistics,Adams GmbH,IT Specialist,L1,48700,EUR,1.0,Procurement,WarsawProcurementL1,36100,41500,46900,12600,0.259,0
117,EID-1413,Nicholas Wilson,Regular,2001-05-30,Poland,Warsaw,Logistics,Adams GmbH,Marketing Team Lead,L3,50500,EUR,1.0,Packaging,WarsawPackagingL3,73700,84800,95800,-23200,-0.459,23200
118,EID-1414,Richard Wright,Regular,2011-04-02,Poland,Warsaw,Logistics,Adams GmbH,Customer Service Partner,L2,53400,EUR,1.0,Quality-Assurance,WarsawQuality-AssuranceL2,59800,68700,77700,-6400,-0.12,6400
119,EID-1428,Danielle Tran,Regular,2013-06-28,Germany,Hamburg,Logistics,Adams GmbH,Marketing Team Lead,L3,54700,EUR,1.0,Transportation,HamburgTransportationL3,65400,75200,85000,-10700,-0.196,10700
