_id,Emp_ID,Legal_Name,Manager_name,Cont_status,Hire_Date,Gender,Country,Location,Company,Division,Business_Title,ELT,PBP,Curr_Level,Cluster,Annual_Sal,Currency,FTE,RoleID,email,Role,Nationality
EID-1021,LL-1021,Carlos West,West Brad,Regular,04/03/2020,Male,Germany,Berlin,Adams GmbH,Productions,Junior Product Analyst,Imran Garba,Barry Ben,L1,Berlin203PRL1,46400,EUR,1,203PR,Carlos.West@s22.com,User,Oceania
EID-1022,LL-1022,Dada Jaheem,Bauer Micheal,Regular,09/12/2019,Male,Germany,Berlin,Adams GmbH,Logistics,Senior Software Engineer,Funmi Iyanda,Dude Sahin,L3,Berlin177HRL3,54225,EUR,0.75,133LG,Dada.Jaheem@s22.com,User,Asia
EID-1023,LL-1023,Ibraheem Rasaki,Holland Zola,Regular,05/07/2021,Male,Germany,Berlin,Adams GmbH,Operations,Junior Operations Analyst,Bauer Saunderland,Shay Wood,L2,Berlin175OPL2,50100,EUR,1,175OP,Ibraheem.Rasaki@s22.com,User,Asia
EID-1024,LL-1024,Imran Garba,Shaw David,Regular,01/07/2022,Female,Austria,Vienna,Adams GmbH,Productions,Head of Product,Imran Garba,Barry Ben,L6,Vienna203PRL6,90400,EUR,1,203PR,Imran.Garba@s22.com,PBP,North America
EID-1025,LL-1025,Jaheem Kaseem,Arsene Wenger,Regular,11/12/2019,Male,Spain,Barcelona,Adams Coy,Technology,Data Analyst,Yusuf Ibraheem,Sarah Clark,L5,Barcelona200TCL5,60800,EUR,0.8,200TC,Jaheem.Kaseem@s22.com,User,North America
EID-1026,LL-1026,John Kathy,Bauer Kruse,Regular,05/06/2021,Male,Austria,Vienna,Adams GmbH,Productions,Productions Specialist,Imran Garba,Barry Ben,L3,Vienna203PRL3,68900,EUR,1,203PR,John.Kathy@s22.com,User,Africa
EID-1027,LL-1027,Julia Bach,Johnson Shay,Regular,11/11/2021,Female,Germany,Berlin,Adams GmbH,Logistics,Head of People Analytic,Funmi Iyanda,Dude Sahin,L7,Berlin177HRL7,132000,EUR,1,133LG,Julia.Bach@s22.com,User,North America
EID-1028,LL-1028,Jülia Bauer,Holland Zola,Regular,05/02/2021,Female,Germany,Berlin,Adams GmbH,Productions,Senior Product Marketer,Imran Garba,Barry Ben,L5,Berlin203PRL5,90080,EUR,1,203PR,Jülia.Bauer@s22.com,User,Asia
EID-1029,LL-1029,Kareem Dauda,Bach Sahin,Regular,01/02/2022,Male,Germany,Berlin,Adams GmbH,People,Data Analyst Junior,Sola Ameobi,Bauer White,L2,Berlin177HRL2,48700,EUR,1,177HR,Kareem.Dauda@s22.com,Reward,Asia
EID-1030,LL-1030,Kathy Razer,Joshua Kimmick,Regular,02/04/2019,Female,Germany,Berlin,Adams GmbH,Technology,Senior Data Analyst,Yusuf Ibraheem,Barry Ben,L4,Berlin200TCL4,78940,EUR,1,200TC,Kathy.Razer@s22.com,User,Europe
EID-1031,LL-1031,Mary Haziz,Müller Mikail,Regular,05/04/2021,Female,Germany,Berlin,Adams GmbH,Technology,Junior Software Engineer,Yusuf Ibraheem,Sarah Clark,L2,Berlin200TCL2,51200,EUR,1,200TC,Mary.Haziz@s22.com,User,North America
EID-1032,LL-1032,Max Ray,Berg Robert,Regular,05/12/2020,Male,Spain,Barcelona,Adams Coy,Logistics,Senior Software Engineer,Funmi Iyanda,Dude Sahin,L5,Barcelona177HRL5,81940,EUR,1,133LG,Max.Ray@s22.com,User,Africa
EID-1033,LL-1033,Muhammed Hammid,Judy Clark,Regular,04/09/2018,Male,Germany,Berlin,Adams GmbH,Productions,Human Resources Manager,Imran Garba,Barry Ben,L7,Berlin203PRL7,102400,EUR,1,203PR,Muhammed.Hammid@s22.com,User,North America
EID-1034,LL-1034,Müller Gray,David Müller,Regular,07/01/2019,Male,Austria,Vienna,Adams GmbH,Management,Global Manager lead,John Dow,Slatan Mary,L6,Vienna201MAL6,102400,EUR,1,201MA,Müller.Gray@s22.com,User,Africa
EID-1035,LL-1035,Raheem Sterling,Quinn Johnson,Regular,02/04/2021,Male,Germany,Hamburg,Adams GmbH,Technology,Senior Android App Developer,Yusuf Ibraheem,Sarah Clark,L5,Hamburg200TCL5,82050,EUR,1,200TC,Raheem.Sterling@s22.com,User,Asia
EID-1036,LL-1036,John Dow,Müller Gray,Regular,09/08/2020,Male,Germany,Berlin,Adams GmbH,Management,Lead Mangement,John Dow,Slatan Mary,L5,Berlin201MAL5,69960,EUR,1,201MA,John.Dow@s22.com,PBP,Europe
EID-1037,LL-1037,Raji Jaheem,Bello Bashit,Regular,11/09/2019,Male,Germany,Hamburg,Adams GmbH,People,Senior Reward Partner,Sola Ameobi,Bauer White,L4,Hamburg177HRL4,80000,EUR,1,177HR,Raji.Jaheem@s22.com,Reward,Asia
EID-1038,LL-1038,Salamat John,Kareem Shaeed,Regular,04/05/2018,Female,Germany,Berlin,Adams GmbH,People,Executive Office Specialist,Sola Ameobi,Bauer White,L3,Berlin177HRL3,66400,EUR,1,177HR,Salamat.John@s22.com,User,Europe
EID-1039,LL-1039,Saihin Bayruth,Müller Mikail,Regular,05/08/2021,Male,Germany,Berlin,Adams GmbH,Technology,Junior Software Engineer,Yusuf Ibraheem,Sarah Clark,L2,Berlin200TCL2,53200,EUR,1,200TC,Saihin.Bayruth@s22.com,User,North America
EID-1040,LL-1040,Salam Ray,Shaw David,Regular,12/9/2020,Male,Spain,Barcelona,Adams Coy,Productions,Product Team Leader,Imran Garba,Barry Ben,L4,Barcelona203PRL4,69200,EUR,1,203PR,Salam.Ray@s22.com,User,Asia
EID-1041,LL-1041,Sarah Clark,Jaheem Kazeem,Regular,12/10/2019,Female,Germany,Berlin,Adams GmbH,Technology,People Business Partner,Yusuf Ibraheem,Sarah Clark,L4,Berlin200TCL4,84300,EUR,1,200TC,Sarah.Clark@s22.com,PBP,Asia
EID-1042,LL-1042,Sarah Uzua,Holland Zola,Regular,05/02/2021,Female,Spain,Barcelona,Adams Coy,Operations,Senior Financial Officer,Bauer Saunderland,Shay Wood,L4,Barcelona175OPL4,78600,EUR,1,175OP,Sarah.Uzua@s22.com,PBP,Europe
EID-1043,LL-1043,Saruk Khan,Holland Zola,Regular,05/05/2021,Male,Germany,Berlin,Adams GmbH,Operations,Junior Operations Analyst,Bauer Saunderland,Shay Wood,L2,Berlin175OPL2,46700,EUR,1,175OP,Saruk.Khan@s22.com,User,Europe
EID-1044,LL-1044,Schneider Bach,Müller Mikail,Regular,04/11/2018,Male,Germany,Berlin,Adams GmbH,Technology,Data Analyst ,Yusuf Ibraheem,Sarah Clark,L1,Berlin200TCL1,28720,EUR,0.8,200TC,Schneider.Bach@s22.com,User,Asia
EID-1045,LL-1045,Sean Kane,Khadija West,Regular,09/07/2020,Male,Spain,Barcelona,Adams Coy,People,Reward Analyst,Sola Ameobi,Bauer White,L2,Barcelona177HRL2,42300,EUR,1,177HR,Sean.Kane@s22.com,Reward,Europe
EID-1046,LL-1046,Mariam Bauer,Khadija West,Regular,5/5/2020,Female,Spain,Barcelona,Adams Coy,Technology,Data Analyst Junior,Yusuf Ibraheem,Sarah Clark,L2,Barcelona200TCL2,41000,EUR,1,200TC,Mariam.Bauer@s22.com,User,Asia
EID-1047,LL-1047,Shay Given,Kay Salim,Regular,07/06/2021,Male,Germany,Berlin,Adams GmbH,Operations,Head of Operations,Bauer Saunderland,Shay Wood,L7,Berlin175OPL7,103600,EUR,1,175OP,Shay.Given@s22.com,User,North America
EID-1048,LL-1048,Shay Wood,Bauer Saunderland,Regular,03/07/2020,Male,Germany,Berlin,Adams GmbH,Operations,People Business Partner,Bauer Sunderland,Shay Wood,L3,Berlin177HRL3,67500,EUR,1,175OP,Shay.Wood@s22.com,PBP,Europe
EID-1049,LL-1049,Khatarina Gary,Khadija West,Regular,09/07/2020,Female,Spain,Barcelona,Adams Coy,Technology,Data Analyst lead,Yusuf Ibraheem,Sarah Clark,L4,Barcelona200TCL4,60480,EUR,0.8,200TC,Khatarina.Gary@s22.com,User,North America
EID-1050,LL-1050,Slatan Mary,Müller Gray,Regular,08/03/2020,Male,Germany,Berlin,Adams GmbH,Management,Office assistant,John Dow,Slatan Mary,L1,Berlin201MAL1,46500,EUR,1,201MA,Slatan.Mary@s22.com,PBP,Asia
EID-1051,LL-1051,Sola Adams,Holland Zola,Regular,05/02/2021,Male,Germany,Berlin,Adams GmbH,Productions,Senior Product Marketer,Imran Garba,Barry Ben,L4,Berlin203PRL4,80070,EUR,1,203PR,Sola.Adams@s22.com,User,Asia
EID-1052,LL-1052,Sola Ameobi,Quinn Park,Regular,01/02/2021,Male,Germany,Berlin,Adams GmbH,People,Senior People Analyst,Sola Ameobi,Bauer White,L5,Berlin177HRL5,82100,EUR,1,177HR,Sola.Ameobi@s22.com,PBP,North America
EID-1053,LL-1053,Southgate Said,Sally Joshua,Regular,05/10/2020,Male,Spain,Barcelona,Adams Coy,People,Operations Assistance,Sola Ameobi,Bauer White,L2,Barcelona177HRL2,42900,EUR,1,177HR,Southgate.Said@s22.com,User,North America
EID-1054,LL-1054,Wood Gazah,Bauer Kruse,Regular,11/6/2018,Male,Spain,Barcelona,Adams Coy,People,Senior Reward Partner,Sola Ameobi,Bauer White,L4,Barcelona177HRL4,72200,EUR,1,177HR,Wood.Gazah@s22.com,Reward,Asia
EID-1055,LL-1055,Sarah Wood,Sally Joshua,Regular,11/11/2018,Female,Spain,Barcelona,Adams Coy,Productions,Junior Researcher,Imran Garba,Barry Ben,L2,Barcelona203PRL2,42000,EUR,1,203PR,Sarah.Wood@s22.com,User,North America
EID-1056,LL-1056,Sayid Amir,Ameed Sulaiman,Regular,03/03/2017,Male,Germany,Hamburg,Adams GmbH,Operations,AFC Associate,Bauer Saunderland,Shay Wood,L3,Hamburg175OPL3,64300,EUR,1,175OP,Sayid.Amir@s22.com,User,Europe
EID-1057,LL-1057,Yasar Bahit,Berg Robert,Regular,11/11/2019,Male,Austria,Vienna,Adams GmbH,Logistics,Junior business partner,Funmi Iyanda,Dude Sahin,L2,Vienna177HRL2,50000,EUR,1,133LG,Yasar.Bahit@s22.com,PBP,Asia
EID-1058,LL-1058,Yunus Wood,Arsene Wenger,Regular,05/07/2021,Male,Austria,Vienna,Adams GmbH,Logistics,Senior Operations Analyst,Funmi Iyanda,Dude Sahin,L4,Vienna177HRL4,71200,EUR,1,133LG,Yunus.Wood@s22.com,User,Asia
EID-1059,LL-1059,Yusuf Ibraheem,Arsene Wenger,Regular,9/7/2022,Male,Austria,Vienna,Adams GmbH,Technology,Data Analsyt,Yusuf Ibraheem,Sarah Clark,L6,Vienna200TCL6,110200,EUR,1,200TC,Yusuf.Ibraheem@s22.com,PBP,Europe
EID-1060,LL-1060,Sarah Xin,Müller Gray,Regular,08/02/2020,Female,Germany,Berlin,Adams GmbH,Management,People Business Partner,John Dow,Slatan Mary,L7,Berlin201MAL7,165000,EUR,1,201MA,Sarah.Xin@s22.com,PBP,North America
EID-1061,LL-1061,Hamir SouthGate,Holland Zola,Regular,05/08/2021,Male,Spain,Barcelona,Adams Coy,Productions,Senior Product Marketer,Imran Garba,Barry Ben,L4,Barcelona203PRL4,80070,EUR,1,203PR,Hamir.SouthGate@s22.com,User,South America
EID-1062,LL-1062,Stephanie Crown,Quinn Park,Regular,01/01/2021,Female,Germany,Berlin,Adams GmbH,People,Senior People Analyst,Sola Ameobi,Bauer White,L5,Berlin177HRL5,82100,EUR,1,177HR,Stephanie.Crown@s22.com,User,Asia
EID-1063,LL-1063,Mary Stack,Sally Joshua,Regular,05/12/2020,Female,Spain,Barcelona,Adams Coy,Logistics,Head of Operations,Funmi Iyanda,Dude Sahin,L7,Barcelona177HRL7,130900,EUR,1,133LG,Mary.Stack@s22.com,User,North America
EID-1064,LL-1064,John Snow,Bauer Kruse,Regular,11/8/2018,Male,Austria,Vienna,Adams Coy,People,Senior Reward Partner,Sola Ameobi,Bauer White,L4,Vienna177HRL4,72200,EUR,1,177HR,John.Snow@s22.com,Reward,Asia
EID-1065,LL-1065,Aminah Alawaye,Sally Joshua,Regular,11/7/2018,Female,Spain,Barcelona,Adams Coy,Productions,Lead Researcher,Imran Garba,Barry Ben,L5,Barcelona203PRL5,87600,EUR,1,203PR,Aminah.Alawaye@s22.com,User,Europe
EID-1066,LL-1066,Wood Drindwater,Ameed Sulaiman,Regular,03/07/2017,Male,Germany,Hamburg,Adams GmbH,Operations,AFC Associate,Bauer Saunderland,Shay Wood,L3,Hamburg175OPL3,66500,EUR,1,175OP,Wood.Drindwater@s22.com,User,Europe
EID-1067,LL-1067,Malik Kabir,Berg Robert,Regular,11/6/2019,Male,Austria,Vienna,Adams GmbH,Logistics,Junior business partner,Funmi Iyanda,Dude Sahin,L2,Vienna177HRL2,51000,EUR,1,133LG,Malik.Kabir@s22.com,PBP,North America
EID-1068,LL-1068,Imran Yakub,Arsene Wenger,Regular,05/05/2021,Female,Germany,Berlin,Adams GmbH,Logistics,Senior Operations Analyst,Funmi Iyanda,Dude Sahin,L4,Berlin177HRL4,82000,EUR,1,133LG,Imran.Yakub@s22.com,User,Asia
EID-1069,LL-1069,Kunle Amir,Arsene Wenger,Regular,9/4/2022,Male,Austria,Vienna,Adams GmbH,Technology,Data Analsyt,Yusuf Ibraheem,Sarah Clark,L6,Vienna200TCL6,115000,EUR,1,200TC,Kunle.Amir@s22.com,User,North America
EID-1070,LL-1070,Ishrat Kora,Müller Gray,Regular,09/02/2020,Male,Germany,Berlin,Adams GmbH,Management,Lead Mangement,John Dow,Slatan Mary,L5,Berlin201MAL5,79800,EUR,1,201MA,Ishrat.Kora@s22.com,User,Europe
EID-1071,LL-1071,Alan Ray,Müller Gray,Regular,08/12/2020,Female,Germany,Berlin,Adams GmbH,Management,People Business Partner,John Dow,Slatan Mary,L5,Berlin201MAL5,82300,EUR,1,201MA,Alan.Ray@s22.com,PBP,Oceania
EID-1072,LL-1072,Uju Rasaq,Müller Gray,Regular,09/09/2020,Male,Germany,Berlin,Adams GmbH,Management,Lead Mangement,John Dow,Slatan Mary,L6,Berlin201MAL6,100000,EUR,1,201MA,Uju.Rasaq@s22.com,User,Asia
EID-1073,LL-1073,Waheed Sanni,Müller Gray,Regular,08/12/2020,Male,Germany,Berlin,Adams GmbH,Management,People Business Partner,John Dow,Slatan Mary,L3,Berlin201MAL3,56700,EUR,1,201MA,Waheed.Sanni@s22.com,PBP,Africa
EID-1074,LL-1074,Ramon Adeyeye,Ameed Sulaiman,Regular,05/06/2021,Male,Germany,Hamburg,Adams GmbH,Operations,IT Support Manager,Bauer Saunderland,Shay Wood,L5,Hamburg175OPL5,77800,EUR,1,175OP,Ramon.Adeyeye@s22.com,User,Asia
EID-1075,LL-1075,Imran Khan,Berg Robert,Regular,05/07/2021,Female,Austria,Vienna,Adams GmbH,Operations,Senior business partner,Bauer Saunderland,Shay Wood,L6,Vienna175OPL6,110000,EUR,1,175OP,Imran.Khan@s22.com,PBP,Africa
EID-1076,LL-1076,Sayid Alhausa,Arsene Wenger,Regular,05/08/2021,Female,Germany,Berlin,Adams GmbH,Logistics,Senior Operations Analyst,Funmi Iyanda,Dude Sahin,L5,Berlin177HRL5,81200,EUR,1,133LG,Sayid.Alhausa@s22.com,User,North America
EID-1077,LL-1077,Saka Buka,Arsene Wenger,Regular,9/4/2022,Male,Austria,Vienna,Adams GmbH,Technology,Durector of Data Analsyt Team,Yusuf Ibraheem,Sarah Clark,L7,Vienna200TCL7,120400,EUR,1,200TC,Saka.Buka@s22.com,User,South America
EID-1078,LL-1078,Shina Ilesanmi,Müller Gray,Regular,09/02/2020,Male,Germany,Berlin,Adams GmbH,Management,Management Asistance,John Dow,Slatan Mary,L1,Berlin201MAL1,36700,EUR,1,201MA,Shina.Ilesanmi@s22.com,User,North America
EID-1079,LL-1079,Wahab Zika,Müller Gray,Regular,08/12/2020,Male,Germany,Berlin,Adams GmbH,Management,People Business Partner,John Dow,Slatan Mary,L2,Berlin201MAL2,47800,EUR,1,201MA,Wahab.Zika@s22.com,PBP,North America
EID-1080,LL-1080,Kayode Alakija,Ameed Sulaiman,Regular,05/06/2021,Male,Germany,Hamburg,Adams GmbH,Operations,Executive Office Manager,Bauer Saunderland,Shay Wood,L5,Hamburg175OPL5,77800,EUR,1,175OP,Kayode.Alakija@s22.com,User,Oceania
EID-1081,LL-1081,Ilori Adekoya,Berg Robert,Regular,05/07/2021,Female,Austria,Vienna,Adams GmbH,Logistics,Senior business partner,Funmi Iyanda,Dude Sahin,L4,Vienna177HRL4,68400,EUR,1,133LG,Ilori.Adekoya@s22.com,PBP,Asia
EID-1082,LL-1082,Alimi Raji,Arsene Wenger,Regular,05/08/2021,Female,Germany,Berlin,Adams GmbH,Logistics,Senior Operations Analyst,Funmi Iyanda,Dude Sahin,L5,Berlin177HRL5,78900,EUR,1,133LG,Alimi.Raji@s22.com,User,Europe
EID-1083,LL-1083,Erik Kay,Arsene Wenger,Regular,9/4/2022,Male,Austria,Vienna,Adams GmbH,Technology,Data Analsyt,Yusuf Ibraheem,Sarah Clark,L2,Vienna200TCL2,51000,EUR,1,200TC,Erik.Kay@s22.com,User,Europe
EID-1084,LL-1084,Mary Slessor,Sally Joshua,Regular,05/06/2020,Female,Spain,Barcelona,Adams Coy,Logistics,Operations Assistance,Funmi Iyanda,Dude Sahin,L1,Barcelona177HRL1,35400,EUR,1,133LG,Mary.Slessor@s22.com,User,Oceania
EID-1085,LL-1085,Alimi Ghadamosi,Berg Robert,Regular,09/11/2020,Male,Spain,Barcelona,Adams Coy,Technology,Senior Software Engineer,Yusuf Ibraheem,Sarah Clark,L5,Barcelona200TCL5,81940,EUR,1,200TC,Alimi.Ghadamosi@s22.com,User,Asia
EID-1086,LL-1086,Jaheem Stack,Bauer Kruse,Regular,11/6/2018,Male,Austria,Vienna,Adams Coy,People,Junior Reward Partner,Sola Ameobi,Bauer White,L1,Vienna177HRL1,39800,EUR,1,177HR,Jaheem.Stack@s22.com,Reward,Asia
EID-1087,LL-1087,Ganiyu Shittu,Quinn Johnson,Regular,02/04/2021,Male,Germany,Hamburg,Adams GmbH,Technology,Senior Android App Developer,Yusuf Ibraheem,Sarah Clark,L5,Hamburg200TCL5,82050,EUR,1,200TC,Ganiyu.Shittu@s22.com,User,North America
EID-1088,LL-1088,Saliu John,Müller Mikail,Regular,05/08/2021,Male,Germany,Berlin,Adams GmbH,Technology,Senior Software Engineer,Yusuf Ibraheem,Sarah Clark,L3,Berlin200TCL3,70200,EUR,1,200TC,Saliu.John@s22.com,User,Europe
EID-1089,LL-1089,Oriyo Aliu,Jaheem Kazeem,Regular,12/10/2019,Female,Germany,Berlin,Adams GmbH,Technology,People Business Partner,Yusuf Ibraheem,Sarah Clark,L4,Berlin200TCL4,81200,EUR,1,200TC,Oriyo.Aliu@s22.com,PBP,Asia
EID-1090,LL-1090,Alhaji Layiwola,Müller Mikail,Regular,04/11/2018,Male,Germany,Berlin,Adams GmbH,Technology,Data Analyst ,Yusuf Ibraheem,Sarah Clark,L1,Berlin200TCL1,29120,EUR,0.8,200TC,Alhaji.Layiwola@s22.com,User,Asia
EID-1091,LL-1091,Sarah Alahusa,Khadija West,Regular,5/5/2020,Female,Spain,Barcelona,Adams Coy,Technology,Data Analyst Junior,Yusuf Ibraheem,Sarah Clark,L2,Barcelona200TCL2,46500,EUR,1,200TC,Sarah.Alahusa@s22.com,User,Asia
EID-1092,LL-1092,Ayisah Dezah,Khadija West,Regular,09/07/2020,Female,Spain,Barcelona,Adams Coy,Technology,Data Analyst lead,Yusuf Ibraheem,Sarah Clark,L4,Barcelona200TCL4,48560,EUR,0.8,200TC,Ayisah.Dezah@s22.com,User,Asia
EID-1093,LL-1093,Yunus Gayer,Arsene Wenger,Regular,9/7/2022,Male,Austria,Vienna,Adams GmbH,Technology,Data Analsyt,Yusuf Ibraheem,Sarah Clark,L6,Vienna200TCL6,110000,EUR,1,200TC,Yunus.Gayer@s22.com,User,North America
EID-1094,LL-1094,Fabian Bach,Arsene Wenger,Regular,9/4/2022,Male,Austria,Vienna,Adams GmbH,Technology,Data Analsyt,Yusuf Ibraheem,Sarah Clark,L6,Vienna200TCL6,110000,EUR,1,200TC,Fabian.Bach@s22.com,User,North America
EID-1095,LL-1095,Gaye Ray,Arsene Wenger,Regular,9/4/2022,Male,Austria,Vienna,Adams GmbH,Technology,Durector of Data Analsyt Team,Yusuf Ibraheem,Sarah Clark,L7,Vienna200TCL7,118000,EUR,1,200TC,Gaye.Ray@s22.com,User,Europe
EID-1096,LL-1096,Lilian Bach,Arsene Wenger,Regular,9/4/2022,Male,Austria,Vienna,Adams GmbH,Technology,Data Analsyt,Yusuf Ibraheem,Sarah Clark,L2,Vienna200TCL2,45300,EUR,1,200TC,Lilian.Bach@s22.com,User,Asia
EID-1097,LL-1097,Humani Adireh,Berg Robert,Regular,05/12/2020,Male,Spain,Barcelona,Adams Coy,Technology,Senior Software Engineer,Yusuf Ibraheem,Sarah Clark,L5,Barcelona200TCL5,61455,EUR,0.75,200TC,Humani.Adireh@s22.com,User,Africa
EID-1098,LL-1098,Gashir Bashir,Quinn Johnson,Regular,02/04/2021,Male,Germany,Hamburg,Adams GmbH,Technology,Senior Android App Developer,Yusuf Ibraheem,Sarah Clark,L5,Hamburg200TCL5,81000,EUR,1,200TC,Gashir.Bashir@s22.com,User,South America
EID-1099,LL-1099,Holland Hammed,Müller Mikail,Regular,05/08/2021,Male,Germany,Berlin,Adams GmbH,Technology,Senior Software Engineer,Yusuf Ibraheem,Sarah Clark,L3,Berlin200TCL3,68700,EUR,1,200TC,Holland.Hammed@s22.com,User,Asia
EID-1100,LL-1100,Siyu Aliu,Jaheem Kazeem,Regular,12/10/2019,Female,Germany,Berlin,Adams GmbH,Technology,People Business Partner,Yusuf Ibraheem,Sarah Clark,L4,Berlin200TCL4,84300,EUR,1,200TC,Siyu.Aliu@s22.com,PBP,Europe
EID-1101,LL-1101,Schneider John,Müller Mikail,Regular,04/11/2018,Male,Germany,Berlin,Adams GmbH,Technology,Data Analyst ,Yusuf Ibraheem,Sarah Clark,L1,Berlin200TCL1,28720,EUR,0.8,200TC,Schneider.John@s22.com,User,Africa
